"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 24 11:47:06 GMT 2022","Sat Sep 24 11:47:19 GMT 2022","13802","","Actions","","","","TC-03 Authorization on the website",""
"passed","Sat Sep 24 11:47:48 GMT 2022","Sat Sep 24 11:47:54 GMT 2022","5991","","Actions","","","","TC-08 Checking the Marketplace",""
"passed","Sat Sep 24 11:47:35 GMT 2022","Sat Sep 24 11:47:41 GMT 2022","5548","","Actions","","","","TC-06 Careers section check",""
"passed","Sat Sep 24 11:48:05 GMT 2022","Sat Sep 24 11:48:10 GMT 2022","5082","","Actions","","","","TC-10 Products section check",""
"passed","Sat Sep 24 11:47:27 GMT 2022","Sat Sep 24 11:47:35 GMT 2022","8225","","Actions","","","","TC-05 Voice Api section check",""
"passed","Sat Sep 24 11:47:20 GMT 2022","Sat Sep 24 11:47:27 GMT 2022","7178","","Actions","","","","TC-04 Password reset",""
"passed","Sat Sep 24 11:47:54 GMT 2022","Sat Sep 24 11:48:05 GMT 2022","10672","","Actions","","","","TC-09 Sending a message using a function Talk to an expert",""
"passed","Sat Sep 24 11:47:41 GMT 2022","Sat Sep 24 11:47:48 GMT 2022","7663","","Actions","","","","TC-07 Checking the Savings Calculator",""
"passed","Sat Sep 24 11:46:25 GMT 2022","Sat Sep 24 11:46:38 GMT 2022","13342","","Actions","","","","TC-01 Registration on the website with invalid email",""
"failed","Sat Sep 24 11:46:38 GMT 2022","Sat Sep 24 11:47:06 GMT 2022","27504","","Actions","","","","TC-02 Registration on the website with valid email",""
