"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 24 11:25:45 GMT 2022","Sat Sep 24 11:25:51 GMT 2022","5973","","Actions","","","","Careers section check",""
"passed","Sat Sep 24 11:25:11 GMT 2022","Sat Sep 24 11:25:26 GMT 2022","14654","","Actions","","","","Authorization on the website",""
"passed","Sat Sep 24 11:26:06 GMT 2022","Sat Sep 24 11:26:18 GMT 2022","11621","","Actions","","","","Sending a message using a function Talk to an expert",""
"passed","Sat Sep 24 11:26:18 GMT 2022","Sat Sep 24 11:26:26 GMT 2022","7562","","Actions","","","","Products section check",""
"passed","Sat Sep 24 11:25:59 GMT 2022","Sat Sep 24 11:26:06 GMT 2022","7664","","Actions","","","","Checking the Marketplace",""
"failed","Sat Sep 24 11:24:44 GMT 2022","Sat Sep 24 11:25:11 GMT 2022","26758","","Actions","","","","Registration on the website with valid email",""
"passed","Sat Sep 24 11:24:30 GMT 2022","Sat Sep 24 11:24:44 GMT 2022","14081","","Actions","","","","Registration on the website with invalid email",""
"passed","Sat Sep 24 11:25:26 GMT 2022","Sat Sep 24 11:25:35 GMT 2022","8766","","Actions","","","","Password reset",""
"passed","Sat Sep 24 11:25:35 GMT 2022","Sat Sep 24 11:25:45 GMT 2022","10475","","Actions","","","","Voice Api section check",""
"passed","Sat Sep 24 11:25:51 GMT 2022","Sat Sep 24 11:25:58 GMT 2022","7194","","Actions","","","","Checking the Savings Calculator",""
