"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Oct 03 14:33:02 GMT 2022","Mon Oct 03 14:33:22 GMT 2022","20083","","Actions","","","","TC-09 Sending a message using a function Talk to an expert",""
"passed","Mon Oct 03 14:32:48 GMT 2022","Mon Oct 03 14:32:55 GMT 2022","7668","","Actions","","","","TC-07 Checking the Savings Calculator",""
"passed","Mon Oct 03 14:32:56 GMT 2022","Mon Oct 03 14:33:02 GMT 2022","6565","","Actions","","","","TC-08 Checking the Marketplace",""
"failed","Mon Oct 03 14:31:41 GMT 2022","Mon Oct 03 14:32:09 GMT 2022","27750","","Actions","","","","TC-02 Registration on the website with valid email",""
"passed","Mon Oct 03 14:32:25 GMT 2022","Mon Oct 03 14:32:33 GMT 2022","8051","","Actions","","","","TC-04 Password reset",""
"passed","Mon Oct 03 14:32:09 GMT 2022","Mon Oct 03 14:32:25 GMT 2022","15627","","Actions","","","","TC-03 Authorization on the website",""
"passed","Mon Oct 03 14:31:18 GMT 2022","Mon Oct 03 14:31:41 GMT 2022","22817","","Actions","","","","TC-01 Registration on the website with invalid email",""
"passed","Mon Oct 03 14:33:22 GMT 2022","Mon Oct 03 14:33:27 GMT 2022","4974","","Actions","","","","TC-10 Products section check",""
"passed","Mon Oct 03 14:32:42 GMT 2022","Mon Oct 03 14:32:48 GMT 2022","5670","","Actions","","","","TC-06 Careers section check",""
"passed","Mon Oct 03 14:32:33 GMT 2022","Mon Oct 03 14:32:42 GMT 2022","9211","","Actions","","","","TC-05 Voice Api section check",""
