"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 24 11:51:48 GMT 2022","Sat Sep 24 11:51:59 GMT 2022","10164","","Actions","","","","TC-09 Sending a message using a function Talk to an expert",""
"passed","Sat Sep 24 11:51:59 GMT 2022","Sat Sep 24 11:52:03 GMT 2022","4529","","Actions","","","","TC-10 Products section check",""
"passed","Sat Sep 24 11:50:47 GMT 2022","Sat Sep 24 11:51:02 GMT 2022","15471","","Actions","","","","TC-02 Registration on the website with valid email",""
"passed","Sat Sep 24 11:51:15 GMT 2022","Sat Sep 24 11:51:21 GMT 2022","5896","","Actions","","","","TC-04 Password reset",""
"passed","Sat Sep 24 11:51:32 GMT 2022","Sat Sep 24 11:51:42 GMT 2022","9566","","Actions","","","","TC-07 Checking the Savings Calculator",""
"passed","Sat Sep 24 11:51:42 GMT 2022","Sat Sep 24 11:51:48 GMT 2022","6642","","Actions","","","","TC-08 Checking the Marketplace",""
"passed","Sat Sep 24 11:51:21 GMT 2022","Sat Sep 24 11:51:27 GMT 2022","6601","","Actions","","","","TC-05 Voice Api section check",""
"passed","Sat Sep 24 11:51:28 GMT 2022","Sat Sep 24 11:51:32 GMT 2022","4516","","Actions","","","","TC-06 Careers section check",""
"passed","Sat Sep 24 11:51:02 GMT 2022","Sat Sep 24 11:51:15 GMT 2022","12772","","Actions","","","","TC-03 Authorization on the website",""
"passed","Sat Sep 24 11:50:34 GMT 2022","Sat Sep 24 11:50:46 GMT 2022","12866","","Actions","","","","TC-01 Registration on the website with invalid email",""
