"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 24 10:17:18 GMT 2022","Sat Sep 24 10:17:29 GMT 2022","10593","","Actions","","","","Sending a message using a function Talk to an expert",""
"passed","Sat Sep 24 10:16:32 GMT 2022","Sat Sep 24 10:16:46 GMT 2022","13219","","Actions","","","","Authorization on the website",""
"passed","Sat Sep 24 10:17:29 GMT 2022","Sat Sep 24 10:17:34 GMT 2022","4661","","Actions","","","","Products section check",""
"failed","Sat Sep 24 10:16:06 GMT 2022","Sat Sep 24 10:16:32 GMT 2022","26133","","Actions","","","","Registration on the website with valid email",""
"passed","Sat Sep 24 10:17:05 GMT 2022","Sat Sep 24 10:17:12 GMT 2022","6794","","Actions","","","","Checking the Savings Calculator",""
"passed","Sat Sep 24 10:16:52 GMT 2022","Sat Sep 24 10:17:00 GMT 2022","8197","","Actions","","","","Voice Api section check",""
"passed","Sat Sep 24 10:16:46 GMT 2022","Sat Sep 24 10:16:52 GMT 2022","6540","","Actions","","","","Password reset",""
"passed","Sat Sep 24 10:17:12 GMT 2022","Sat Sep 24 10:17:18 GMT 2022","6146","","Actions","","","","Checking the Marketplace",""
"passed","Sat Sep 24 10:17:00 GMT 2022","Sat Sep 24 10:17:05 GMT 2022","4876","","Actions","","","","Careers section check",""
"passed","Sat Sep 24 10:15:53 GMT 2022","Sat Sep 24 10:16:06 GMT 2022","13325","","Actions","","","","Registration on the website with invalid email",""
