"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 24 10:20:58 GMT 2022","Sat Sep 24 10:21:07 GMT 2022","9009","","Actions","","","","Voice Api section check",""
"passed","Sat Sep 24 10:21:28 GMT 2022","Sat Sep 24 10:21:39 GMT 2022","10666","","Actions","","","","Sending a message using a function Talk to an expert",""
"passed","Sat Sep 24 10:20:35 GMT 2022","Sat Sep 24 10:20:50 GMT 2022","15136","","Actions","","","","Authorization on the website",""
"passed","Sat Sep 24 10:21:13 GMT 2022","Sat Sep 24 10:21:21 GMT 2022","8103","","Actions","","","","Checking the Savings Calculator",""
"passed","Sat Sep 24 10:20:50 GMT 2022","Sat Sep 24 10:20:58 GMT 2022","7612","","Actions","","","","Password reset",""
"passed","Sat Sep 24 10:19:47 GMT 2022","Sat Sep 24 10:20:07 GMT 2022","19820","","Actions","","","","Registration on the website with invalid email",""
"passed","Sat Sep 24 10:21:39 GMT 2022","Sat Sep 24 10:21:45 GMT 2022","6311","","Actions","","","","Products section check",""
"failed","Sat Sep 24 10:20:07 GMT 2022","Sat Sep 24 10:20:35 GMT 2022","28149","","Actions","","","","Registration on the website with valid email",""
"passed","Sat Sep 24 10:21:07 GMT 2022","Sat Sep 24 10:21:13 GMT 2022","5591","","Actions","","","","Careers section check",""
"passed","Sat Sep 24 10:21:21 GMT 2022","Sat Sep 24 10:21:28 GMT 2022","7148","","Actions","","","","Checking the Marketplace",""
