"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 24 11:18:50 GMT 2022","Sat Sep 24 11:18:55 GMT 2022","4647","","Actions","","","","Careers section check",""
"passed","Sat Sep 24 11:19:18 GMT 2022","Sat Sep 24 11:19:22 GMT 2022","4069","","Actions","","","","Products section check",""
"passed","Sat Sep 24 11:18:55 GMT 2022","Sat Sep 24 11:19:02 GMT 2022","6699","","Actions","","","","Checking the Savings Calculator",""
"passed","Sat Sep 24 11:17:59 GMT 2022","Sat Sep 24 11:18:22 GMT 2022","23365","","Actions","","","","Registration on the website with valid email",""
"passed","Sat Sep 24 11:18:22 GMT 2022","Sat Sep 24 11:18:36 GMT 2022","13878","","Actions","","","","Authorization on the website",""
"passed","Sat Sep 24 11:19:02 GMT 2022","Sat Sep 24 11:19:08 GMT 2022","6166","","Actions","","","","Checking the Marketplace",""
"passed","Sat Sep 24 11:18:36 GMT 2022","Sat Sep 24 11:18:43 GMT 2022","6847","","Actions","","","","Password reset",""
"passed","Sat Sep 24 11:17:45 GMT 2022","Sat Sep 24 11:17:58 GMT 2022","13587","","Actions","","","","Registration on the website with invalid email",""
"passed","Sat Sep 24 11:19:08 GMT 2022","Sat Sep 24 11:19:18 GMT 2022","10169","","Actions","","","","Sending a message using a function Talk to an expert",""
"passed","Sat Sep 24 11:18:43 GMT 2022","Sat Sep 24 11:18:50 GMT 2022","7537","","Actions","","","","Voice Api section check",""
