"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 24 10:24:58 GMT 2022","Sat Sep 24 10:25:03 GMT 2022","4991","","Actions","","","","Careers section check",""
"passed","Sat Sep 24 10:25:10 GMT 2022","Sat Sep 24 10:25:16 GMT 2022","6165","","Actions","","","","Checking the Marketplace",""
"passed","Sat Sep 24 10:25:03 GMT 2022","Sat Sep 24 10:25:10 GMT 2022","6916","","Actions","","","","Checking the Savings Calculator",""
"passed","Sat Sep 24 10:25:16 GMT 2022","Sat Sep 24 10:25:27 GMT 2022","10684","","Actions","","","","Sending a message using a function Talk to an expert",""
"passed","Sat Sep 24 10:24:42 GMT 2022","Sat Sep 24 10:24:49 GMT 2022","6550","","Actions","","","","Password reset",""
"failed","Sat Sep 24 10:24:03 GMT 2022","Sat Sep 24 10:24:29 GMT 2022","26209","","Actions","","","","Registration on the website with valid email",""
"passed","Sat Sep 24 10:24:29 GMT 2022","Sat Sep 24 10:24:42 GMT 2022","13028","","Actions","","","","Authorization on the website",""
"passed","Sat Sep 24 10:24:49 GMT 2022","Sat Sep 24 10:24:58 GMT 2022","9323","","Actions","","","","Voice Api section check",""
"passed","Sat Sep 24 10:25:27 GMT 2022","Sat Sep 24 10:25:32 GMT 2022","4707","","Actions","","","","Products section check",""
"passed","Sat Sep 24 10:23:50 GMT 2022","Sat Sep 24 10:24:03 GMT 2022","12777","","Actions","","","","Registration on the website with invalid email",""
