"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 24 10:12:27 GMT 2022","Sat Sep 24 10:12:31 GMT 2022","4514","","Actions","","","","Products section check",""
"passed","Sat Sep 24 10:11:42 GMT 2022","Sat Sep 24 10:11:48 GMT 2022","6352","","Actions","","","","Password reset",""
"passed","Sat Sep 24 10:12:09 GMT 2022","Sat Sep 24 10:12:15 GMT 2022","5863","","Actions","","","","Checking the Marketplace",""
"passed","Sat Sep 24 10:12:02 GMT 2022","Sat Sep 24 10:12:09 GMT 2022","6449","","Actions","","","","Checking the Savings Calculator",""
"passed","Sat Sep 24 10:12:15 GMT 2022","Sat Sep 24 10:12:27 GMT 2022","11898","","Actions","","","","Sending a message using a function Talk to an expert",""
"passed","Sat Sep 24 10:11:28 GMT 2022","Sat Sep 24 10:11:42 GMT 2022","13742","","Actions","","","","Authorization on the website",""
"passed","Sat Sep 24 10:10:49 GMT 2022","Sat Sep 24 10:11:02 GMT 2022","12949","","Actions","","","","Registration on the website with invalid email",""
"passed","Sat Sep 24 10:11:48 GMT 2022","Sat Sep 24 10:11:57 GMT 2022","8739","","Actions","","","","Voice Api section check",""
"failed","Sat Sep 24 10:11:02 GMT 2022","Sat Sep 24 10:11:28 GMT 2022","26086","","Actions","","","","Registration on the website with valid email",""
"passed","Sat Sep 24 10:11:57 GMT 2022","Sat Sep 24 10:12:02 GMT 2022","5426","","Actions","","","","Careers section check",""
